incident_num,shooting_date,district,victim_gender,victim_race,multi_victim,v_hispanic_or_latinx,fatal,district_name
I182025532,2018-04-05 23:38:00+00,C6,Male,Black or African American,f,FALSE,TRUE,South Boston
I182025516,2018-04-05 22:35:00+00,B3,Male,Black or African American,f,FALSE,FALSE,Mattapan
I182025962,2018-04-07 17:37:00+00,E18,Male,Black or African American,f,FALSE,TRUE,Hyde Park
I182026805,2018-04-10 18:57:29+00,B2,Male,Black or African American,t,TRUE,FALSE,Roxbury
I182026805,2018-04-10 18:57:33+00,B2,Female,Black or African American,t,TRUE,FALSE,Roxbury
I182028394,2018-04-16 13:02:00+00,B2,Male,Black or African American,f,FALSE,FALSE,Roxbury
I182031717,2018-04-28 02:45:00+00,B2,Male,Black or African American,f,FALSE,TRUE,Roxbury
I182031562,2018-04-27 14:30:00+00,D4,Male,White,f,TRUE,FALSE,South End
I182031968,2018-04-29 00:41:00+00,B3,Female,Black or African American,f,FALSE,FALSE,Mattapan
I182033040,2018-05-02 16:45:00+00,A1,Male,Black or African American,f,FALSE,FALSE,Downtown
I182033779,2018-05-04 21:41:00+00,E13,Male,Black or African American,t,FALSE,TRUE,Jamaica Plain
I182033779,2018-05-04 21:41:00+00,E13,Male,Black or African American,t,FALSE,TRUE,Jamaica Plain
I182033510,2018-05-04 05:07:00+00,B2,Male,Black or African American,f,FALSE,FALSE,Roxbury
I182033842,2018-05-05 02:14:00+00,E13,Male,Black or African American,f,FALSE,FALSE,Jamaica Plain
I182033812,2018-05-05 00:05:00+00,B2,Male,Black or African American,f,FALSE,FALSE,Roxbury
I182035240,2018-05-09 16:40:00+00,B2,Male,Black or African American,f,FALSE,FALSE,Roxbury
I182036836,2018-05-15 10:39:00+00,B3,Male,Unknown,f,FALSE,TRUE,Mattapan
I182036730,2018-05-14 22:28:00+00,B2,Male,Black or African American,f,FALSE,FALSE,Roxbury
I182038022,2018-05-19 01:35:00+00,C11,Male,Black or African American,f,FALSE,FALSE,Dorchester
I182037657,2018-05-17 21:24:00+00,C11,Male,Black or African American,t,FALSE,FALSE,Dorchester
I182037657,2018-05-17 21:24:00+00,C11,Male,Black or African American,t,FALSE,FALSE,Dorchester
I182038763,2018-05-21 08:30:59+00,C11,Male,White,f,FALSE,FALSE,Dorchester
I182042418,2018-06-01 23:53:00+00,A7,Male,Black or African American,f,FALSE,TRUE,East Boston
I172105745,2017-12-23 03:13:02+00,C11,Male,White,f,FALSE,TRUE,Dorchester
I182043486,2018-06-05 18:38:00+00,C11,Female,Black or African American,f,FALSE,FALSE,Dorchester
I182043561,2018-06-05 22:49:00+00,C11,Male,White,f,TRUE,TRUE,Dorchester
I182045071,2018-06-10 22:53:22+00,C11,Male,Black or African American,f,FALSE,FALSE,Dorchester
I182044554,2018-06-09 00:45:29+00,B2,Male,Black or African American,f,TRUE,FALSE,Roxbury
I182044546,2018-06-09 00:08:45+00,B2,Male,Black or African American,t,FALSE,FALSE,Roxbury
I182044546,2018-06-09 00:08:43+00,B2,Male,White,t,TRUE,FALSE,Roxbury
I182044546,2018-06-09 00:08:30+00,B2,Male,White,t,TRUE,FALSE,Roxbury
I182044546,2018-06-09 00:08:29+00,B2,Male,Black or African American,t,FALSE,FALSE,Roxbury
I182044821,2018-06-09 23:53:25+00,C11,Male,Black or African American,f,FALSE,FALSE,Dorchester
I182044559,2018-06-08 23:56:53+00,B3,Male,Black or African American,f,FALSE,FALSE,Mattapan
I182044393,2018-06-08 13:00:44+00,B3,Male,Black or African American,f,FALSE,FALSE,Mattapan
I182045765,2018-06-12 22:45:00+00,E18,Male,Unknown,f,FALSE,FALSE,Hyde Park
I182049008,2018-06-23 02:57:32+00,B2,Male,White,f,TRUE,FALSE,Roxbury
I182049671,2018-06-25 12:42:00+00,B2,Male,Black or African American,f,FALSE,FALSE,Roxbury
I182050499,2018-06-27 18:53:00+00,C11,Male,Black or African American,t,FALSE,FALSE,Dorchester
I182050499,2018-06-27 18:53:00+00,C11,Male,Black or African American,t,FALSE,FALSE,Dorchester
I182050499,2018-06-27 18:53:00+00,C11,Male,Unknown,t,FALSE,FALSE,Dorchester
I182051210,2018-06-30 00:41:00+00,D14,Female,Black or African American,t,FALSE,TRUE,Brighton
I182051210,2018-06-30 00:41:00+00,D14,Male,Black or African American,t,FALSE,TRUE,Brighton
I182051482,2018-06-30 23:46:00+00,E18,Male,Black or African American,f,FALSE,FALSE,Hyde Park
I182051203,2018-06-30 00:16:00+00,B3,Male,Black or African American,t,FALSE,FALSE,Mattapan
I182051203,2018-06-30 00:16:00+00,B3,Male,Black or African American,t,FALSE,FALSE,Mattapan
I182052372,2018-07-04 00:16:00+00,B2,Male,Black or African American,f,FALSE,FALSE,Roxbury
I182052365,2018-07-03 23:39:00+00,B2,Male,White,f,TRUE,TRUE,Roxbury
I182052602,2018-07-04 21:50:00+00,B2,Male,Black or African American,f,FALSE,TRUE,Roxbury
I182052553,2018-07-04 18:40:00+00,B2,Male,Black or African American,t,FALSE,FALSE,Roxbury
I182052553,2018-07-04 18:40:00+00,B2,Male,Black or African American,t,FALSE,FALSE,Roxbury
I182052553,2018-07-04 18:40:00+00,B2,Male,Black or African American,t,FALSE,FALSE,Roxbury
I182052553,2018-07-04 18:40:00+00,B2,Male,Black or African American,t,FALSE,FALSE,Roxbury
I182053289,2018-07-06 23:36:00+00,C11,Male,Black or African American,f,FALSE,FALSE,Dorchester
I182053414,2018-07-07 15:06:00+00,B2,Male,White,f,TRUE,TRUE,Roxbury
I182053533,2018-07-07 23:33:00+00,B2,Male,Black or African American,f,FALSE,FALSE,Roxbury
